course,semester,subject_code,subject_name,year,exam_type,question,marks
B.Sc(IT-CS),3,UNK,Unknown,2023,Regular,What do you mean by man-made (human alqes;,6
B.Sc(IT-CS),5,U65AIMAS,Unknown,2023,Regular,Section-I consist of 07 questions of 6 marks each with options respectively. Section-Il,6
B.Sc(IT-CS),5,U65AIMAS,Unknown,2023,Regular,"El""b""*t"" """" the steps to create a blog in WordPress,",6
B.Sc(IT-CS),5,U65AIMAS,Unknown,2023,Regular,This Question paper has two sections. Each section should be written in a separate,1
B.Sc(IT-CS),5,U65AIMAS,Unknown,2023,Regular,Section-I consist of 07 questions of 6 marks each with options respectively. Section-Il,6
B.Sc(IT-CS),5,U65AIMAS,Unknown,2023,Regular,This Question paper has two sections. Each section should be written in a separate answer book',6
B.Sc(IT-CS),5,U65AIMAS,Unknown,2023,Regular,Section-l consist of 07 questions of 06 marks each with options respectively. Section-Il consist of 03,6
B.Sc(IT-CS),5,U65AIMAS,Unknown,2023,Regular,"Figures to the right indicate fullmarks, Course Outcomes and BL Pattern Level.",12
B.Sc(IT-CS),5,U65AIMAS,Unknown,2023,Regular,Section-I consist of 07 questions of 6 marks each with options respectively. Section-Il,6
B.Sc(IT-CS),5,U65AIMAS,Unknown,2023,Regular,Write a shott note on design models. 06co4 BTL4,6
B.Sc(IT-DS),1,UNK,Unknown,2023,Regular,uestion 4 of 6 Marks with options respectively',6
B.Sc(IT-DS),1,UNK,Unknown,2023,Regular,This Question paper has two sections. Each section should be written in a separate,1
B.Sc(IT-DS),1,UNK,Unknown,2023,Regular,This Question paper has two sections. Each section should be written in a.separate,6
B.Sc(IT-DS),1,UNK,Unknown,2023,Regular,Section-I consist of 07 questions of 6 marks each with options respectively.Section-Il,6
B.Sc(IT-DS),1,UNK,Unknown,2023,Regular,This Question paper has two sections. Each section should be written in a separate,6
B.Sc(IT-DS),1,UNK,Unknown,2023,Regular,Section-I consist of 07 questions of 6 marks each with options respectively. Section-Il,6
B.Sc(IT-DS),1,UNK,Unknown,2023,Regular,Define underfitting and discuss its implications in,6
B.Sc(IT-DS),1,UNK,Unknown,2023,Regular,.,6
B.Sc(IT-DS),1,UNK,Unknown,2023,Regular,"Section-I consists of 07 questions of 6 marks each with options respectively. SectionII consists of 03 questions, euestion 2 of 12 Marks, euestion 3 o",6
B.Sc(IT-DS),1,UNK,Unknown,2023,Regular,CO4 BTL 6,6
B.Sc(IT-DS),3,U73A1DS,Unknown,2023,Regular,Section-I consist of 07 questions of 6 marks each with options respectively. Section-Il,6
B.Sc(IT-DS),3,U73A1DS,Unknown,2023,Regular,Write a program for Quick sorting. 06co5 BTL6,6
B.Sc(IT-DS),3,U73A1DS,Unknown,2023,Regular,This euestion paper has two sections. Each section should be written in a separate,6
B.Sc(IT-DS),3,U73A1DS,Unknown,2023,Regular,Section-I consist of 07 questions of 6 marks each with options respectively. Section-Il,6
B.Sc(IT-DS),3,U73A1DS,Unknown,2023,Regular,This euestion paper has two sections. Each section should be written in a separate,6
B.Sc(IT-DS),3,U73A1DS,Unknown,2023,Regular,Explain biotic component of ecosystem? 06c02 BTL4,6
B.Sc(IT-DS),5,U75A,Unknown,2023,Regular,Section-I consist of 07 questions of 6 marks each with options respectively. Section-Il,6
B.Sc(IT-DS),5,U75A,Unknown,2023,Regular,This Question paper has two sections. Each section should be written in a separate,6
B.Sc(IT-DS),5,U75A,Unknown,2023,Regular,What are the components of a pie chart and how can you,6
B.Sc(IT-DS),5,U75A,Unknown,2023,Regular,This Question paper has two sections. Each section should be written in a separate,1
B.Sc(IT-DS),5,U75A,Unknown,2023,Regular,Section-I consist of 07 questions of 6 marks each with options respectively. Section-Il,6
B.Sc(IT-DS),5,U75A,Unknown,2023,Regular,Justiff the clustering with categorical attributes. 06co4 BTL5,6
B.Sc(IT-DS),5,U75A,Unknown,2023,Regular,This QuestionTotal:60 Marks,6
B.Sc(IT-DS),5,U75A,Unknown,2023,Regular,Section-I consist of 07 questions of 6 marks each with options respectively. Section-Il,6
B.Sc(IT-DS),5,U75A,Unknown,2023,Regular,Bloom's Taxonomy Based Assessmetrt Pattern: BTll-Remember; BTL2- Understand;,6
MCA,2,UNK,Unknown,2023,Regular,4,6
MCA,2,UNK,Unknown,2023,Regular,(30),8
MCA,2,UNK,Unknown,2023,Regular,Be precise and to the point in your answer,9
MCA,2,UNK,Unknown,2023,Regular,GANPAT UNIVERSITY,8
MCA,2,UNK,Unknown,2023,Regular,Answer the followving: (ANY 1),1
MCA,2,UNK,Unknown,2023,Regular,DD BCA-MCA SEM-II EXAMINATION (CBCS) April -June 2023,6
MCA,4,U54A1DT2,Unknown,2020,Regular,CTS 3.,7
MCA,4,U54A1DT2,Unknown,2020,Regular,What do vou understand by intent Explan any onc tvpe of intent with example,10
MCA,4,U54A1DT2,Unknown,2020,Regular,(30),5
MCA,4,U54A1DT2,Unknown,2020,Regular,", 2, 3, 1, 2, 5, 3, 4, 6, 7, 7, 1, 0, 5, 4, 6, 2, 3, 0, 1.",10
M.Sc(IT),2,UNK,Unknown,2023,Regular,What is KNN? Explain KNN in detail with proper example.,1
M.Sc(IT),2,UNK,Unknown,2023,Regular,GANPAT UNIVERSITY,9
B.Sc(IMS),2,UNK,Unknown,2020,Regular,Be precise and to the point in your answerI Total Marks : 30,7
B.Sc(IMS),2,UNK,Unknown,2020,Regular,(0s),3
M.Sc(IT),2,UNK,Unknown,2023,Regular,Explain the prerequisites for installing Hyper-V. Seat No.,3
M.Sc(IT),2,UNK,Unknown,2023,Regular,5. Answer the following Questions. (Any One) 1. Write a short note on Raspberry Pi. Seat No.,3
M.Sc(IT),2,UNK,Unknown,2023,Regular,2. Answer the following Questions. (Any One) |Total Marks : 30,3
M.Sc(IT),2,UNK,Unknown,2023,Regular,5. Answer the following Questions. (Any One) Why use Route Redistribution? Explain disadvantages to route redistribution.,4
M.Sc(IT),2,UNK,Unknown,2023,Regular,Be precise and to the point in your answer,3
M.Sc(IT),2,UNK,Unknown,2023,Regular,Write a hibernate program for insert operation.,8
M.Sc(IT),2,UNK,Unknown,2023,Regular,GANPAT UNIVERSITY,5
M.Sc(IT),2,UNK,Unknown,2023,Regular,Figures to the right indicate full marks Be precise and to the point in your answer,8
M.Sc(IT),2,UNK,Unknown,2023,Regular,5. Answer the following: (Any Two),8
B.Sc(IT-CS),1,UNK,Unknown,2023,Regular,Section-I consist of 07 questions of 6 marks each with options respectively. Section-Il,6
B.Sc(IT-CS),1,UNK,Unknown,2023,Regular,This Question paper has two sections. Each section should be written in a separate,6
B.Sc(IT-CS),1,UNK,Unknown,2023,Regular,Section-I consist of 07 questions of 6 marks each with options respectively. Section-Il,6
B.Sc(IT-CS),1,UNK,Unknown,2023,Regular,This Question paper has two sections. Each section should be written in a separate,6
B.Sc(IT-CS),1,UNK,Unknown,2023,Regular,Section-I consist of 07 questions of 6 marks each with options respectively. Section-Il,6
B.Sc(IT-CS),1,UNK,Unknown,2023,Regular,"Figures to the right indicate full marks, Course Outcomes and BL Pattem Level.",6
B.Sc(IT-CS),1,UNK,Unknown,2023,Regular,This Question paper has two sections. Each section should be written in a separate answer book.3. Section-I consist of 07 questions of 06 marks each w,6
B.Sc(IT-CS),1,UNK,Unknown,2023,Regular,Define the Role of UNCITRAL in details. 06co5 BTL4,12
B.Sc(IT-CS),3,UNK,Unknown,2023,Regular,Section-I consist of 07 questions of 6 marks each with options respectively.'section-Il,6
B.Sc(IT-CS),3,UNK,Unknown,2023,Regular,This Question paper has two sections. Each section should be written in a separate,6
B.Sc(IT-CS),3,UNK,Unknown,2023,Regular,Section-I consist of 07 questions of 6 marks each with options respectively. Section-Il,6
B.Sc(IT-CS),3,UNK,Unknown,2023,Regular,This Question paper has two sections. Each section should be written in a separate,6
B.Sc(IT-CS),3,UNK,Unknown,2023,Regular,Section-I consist of 07 questions of 6 marks each with options respectively. Section-Il,6
B.Sc(IT-CS),3,UNK,Unknown,2023,Regular,{),6
